scheme_name,level,ministry,benefit,eligibility,apply_portal,official_source
Ayushman Bharat - PM Jan Arogya Yojana (PM-JAY),National,"National Health Authority, MoHFW",Health insurance cover of ₹5 lakh per family/year for secondary and tertiary hospitalization.,Deprived rural families and identified occupational categories of urban workers as per SECC 2011.,https://pmjay.gov.in/,https://pmjay.gov.in/
Pradhan Mantri Ujjwala Yojana (PMUY) 2.0,National,Ministry of Petroleum & Natural Gas,Free LPG connections to women from BPL households.,Adult women belonging to poor households with valid ration card.,https://www.pmuy.gov.in/,https://www.pmuy.gov.in/
Pradhan Mantri Awas Yojana - Urban (PMAY-U),National,Ministry of Housing and Urban Affairs,"Subsidy on home loan interest for EWS, LIG, MIG categories.","Urban poor, EWS/LIG/MIG categories; family should not own a pucca house.",https://pmaymis.gov.in/,https://pmaymis.gov.in/
PM-KISAN Samman Nidhi,National,Ministry of Agriculture & Farmers Welfare,₹6000 per year in 3 equal installments to eligible farmers.,All small and marginal farmers (excluding higher income groups).,https://pmkisan.gov.in/,https://pmkisan.gov.in/
Pradhan Mantri Jan Dhan Yojana (PMJDY),National,Ministry of Finance,"Financial inclusion with zero-balance bank account, RuPay card, overdraft facility.",Any Indian citizen without a bank account.,https://pmjdy.gov.in/,https://pmjdy.gov.in/
PM Street Vendor's Atmanirbhar Nidhi (PM SVANidhi),National,Ministry of Housing and Urban Affairs,"Collateral-free working capital loan of ₹10,000, repayable in monthly installments.","Street vendors operating on or before March 24, 2020.",https://pmsvanidhi.mohua.gov.in/,https://pmsvanidhi.mohua.gov.in/
Atal Pension Yojana (APY),National,Ministry of Finance,Guaranteed pension between ₹1000 and ₹5000 per month after 60 years.,All Indian citizens aged 18-40 years with bank account.,https://npscra.nsdl.co.in/nsdl-forms.php,https://financialservices.gov.in/atal-pension-yojana
National Scholarship Portal (NSP),National,Ministry of Education,Centralized scholarships for students from various ministries/departments.,Students from SC/ST/OBC/Minority/EWS backgrounds as per scheme-specific norms.,https://scholarships.gov.in/,https://scholarships.gov.in/
PM POSHAN (Mid-Day Meal Scheme),National,Ministry of Education,Nutritious mid-day meals to school children.,All children in government and government-aided schools up to Class VIII.,Through schools,https://pmposhan.education.gov.in/
e-Shram Portal,National,Ministry of Labour and Employment,National database of unorganized workers with accidental insurance coverage.,Unorganized workers aged 16-59 years.,https://eshram.gov.in/,https://eshram.gov.in/
Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY),Maharashtra,"Public Health Department, Maharashtra",Cashless health insurance up to ₹1.5 lakh per family per year.,"Families with yellow/antyodaya ration cards, farmers from 14 distressed districts.",https://www.jeevandayee.gov.in/,https://www.jeevandayee.gov.in/
Sanjay Gandhi Niradhar Anudan Yojana,Maharashtra,"Dept. of Social Justice, Maharashtra",Monthly pension to destitute persons.,"Destitute, orphaned, disabled, divorced women, etc.",https://sjsa.maharashtra.gov.in/,https://sjsa.maharashtra.gov.in/
Shravanbal Seva Rajya Nivruttivetan Yojana,Maharashtra,"Dept. of Social Justice, Maharashtra",Monthly pension to destitute senior citizens above 65 years.,"Senior citizens with annual income <₹21,000.",https://sjsa.maharashtra.gov.in/,https://sjsa.maharashtra.gov.in/
Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,Maharashtra,"Higher & Technical Education Dept., Maharashtra",Scholarship for meritorious students belonging to SC category.,SC students studying in Class XI-XII with >75% in Class X.,https://mahadbt.maharashtra.gov.in/,https://mahadbt.maharashtra.gov.in/
Post-Matric Scholarship to SC Students,Maharashtra,"Dept. of Social Justice, Maharashtra",Covers tuition/exam fees for SC students in post-matric courses.,SC category students with family income below prescribed limit.,https://mahadbt.maharashtra.gov.in/,https://mahadbt.maharashtra.gov.in/
